project,target,configuration,hash,code,status,start,end
@sos/style-tokens,build,,10973150188393631965,0,success,1721697285377,1721697290280
test,build,,4210203561708839178,1,failure,1721697290284,1721697298403
@sos/style-tokens,build,,6479378189181237339,0,success,1721698141184,1721698145283
@sos/esbuild-config,build,,17843404049651249403,0,success,1721700946384,1721700947596
@sos/style-tokens,build,,10048653291390256507,1,failure,1721700947599,1721700949656
@sos/esbuild-config,build,,17843404049651249403,0,local-cache-kept-existing,1721703564234,1721703564260
@sos/style-tokens,build,,17701444688760031451,1,failure,1721703564268,1721703566221
@sos/esbuild-config,build,,17843404049651249403,0,local-cache-kept-existing,1721703624880,1721703624907
@sos/style-tokens,build,,17425238942301230343,1,failure,1721703624915,1721703626827
@sos/esbuild-config,build,,13175053424899403681,0,success,1721703696309,1721703697472
@sos/style-tokens,build,,8440513760013893363,0,success,1721703697475,1721703701490
@sos/esbuild-config,build,,4813442728156191866,0,success,1721704931415,1721704932576
@sos/style-tokens,build,,10633962985291302783,0,success,1721704932578,1721704936700
@sos/react-components-layout,build,,2268664808843562780,0,success,1721704936703,1721704941538
@sos/storybook,storybook,,17124332008875838487,1,failure,1721708191800,1721708232490
@sos/storybook,storybook,,1630421705696824664,1,failure,1721707728537,1721708232531
